name,area,carrier,type,parameter,year,value
PL hydro ROR flow 2024,PL,hydro ROR,outflow,flow,2024,2.1
PL hydrogen final use flow 2020,PL,hydrogen final use,inflow,flow,2020,28.6
PL hydrogen final use flow 2021,PL,hydrogen final use,inflow,flow,2021,27.3
PL hydrogen final use flow 2022,PL,hydrogen final use,inflow,flow,2022,23.7
PL hydrogen final use flow 2023,PL,hydrogen final use,inflow,flow,2023,23.7
PL light vehicle mobility final use flow 2020,PL,light vehicle mobility final use,inflow,flow,2020,43.8
PL light vehicle mobility final use flow 2021,PL,light vehicle mobility final use,inflow,flow,2021,44.6
PL light vehicle mobility final use flow 2022,PL,light vehicle mobility final use,inflow,flow,2022,44.9
PL light vehicle mobility final use flow 2023,PL,light vehicle mobility final use,inflow,flow,2023,44.9
PL lignite power flow 2020,PL,lignite power,outflow,flow,2020,33.0
PL lignite power flow 2021,PL,lignite power,outflow,flow,2021,39.9
PL lignite power flow 2022,PL,lignite power,outflow,flow,2022,41.0
PL lignite power flow 2023,PL,lignite power,outflow,flow,2023,29.8
PL lignite power flow 2024,PL,lignite power,outflow,flow,2024,30.8
PL natural gas CHP flow 2020,PL,natural gas CHP,outflow,flow,2020,15.8
PL natural gas CHP flow 2021,PL,natural gas CHP,outflow,flow,2021,15.3
PL natural gas CHP flow 2022,PL,natural gas CHP,outflow,flow,2022,11.4
PL natural gas CHP flow 2023,PL,natural gas CHP,outflow,flow,2023,16.2
PL natural gas CHP flow 2024,PL,natural gas CHP,outflow,flow,2024,19.1
PL natural gas power flow 2024,PL,natural gas power,outflow,flow,2024,1.0
PL other CHP flow 2020,PL,other CHP,outflow,flow,2020,2.7
PL other CHP flow 2021,PL,other CHP,outflow,flow,2021,2.6
PL other CHP flow 2022,PL,other CHP,outflow,flow,2022,2.5
PL other CHP flow 2023,PL,other CHP,outflow,flow,2023,2.4
PL other CHP flow 2024,PL,other CHP,outflow,flow,2024,2.4
PL other heating final use flow 2020,PL,other heating final use,inflow,flow,2020,15.6
PL other heating final use flow 2021,PL,other heating final use,inflow,flow,2021,16.9
PL other heating final use flow 2022,PL,other heating final use,inflow,flow,2022,15.2
PL other heating final use flow 2023,PL,other heating final use,inflow,flow,2023,15.2
PL solar PV ground flow 2020,PL,solar PV ground,outflow,flow,2020,1.0
PL solar PV ground flow 2021,PL,solar PV ground,outflow,flow,2021,1.3
PL solar PV ground flow 2022,PL,solar PV ground,outflow,flow,2022,2.5
PL solar PV ground flow 2023,PL,solar PV ground,outflow,flow,2023,4.6
PL solar PV ground flow 2024,PL,solar PV ground,outflow,flow,2024,7.4
PL solar PV roof flow 2020,PL,solar PV roof,outflow,flow,2020,1.1
PL solar PV roof flow 2021,PL,solar PV roof,outflow,flow,2021,2.7
PL solar PV roof flow 2022,PL,solar PV roof,outflow,flow,2022,5.7
PL solar PV roof flow 2023,PL,solar PV roof,outflow,flow,2023,6.8
PL solar PV roof flow 2024,PL,solar PV roof,outflow,flow,2024,7.9
PL space heating final use flow 2020,PL,space heating final use,inflow,flow,2020,155.8
PL space heating final use flow 2021,PL,space heating final use,inflow,flow,2021,164.6
PL space heating final use flow 2022,PL,space heating final use,inflow,flow,2022,152.8
PL space heating final use flow 2023,PL,space heating final use,inflow,flow,2023,152.8
PL water heating final use flow 2020,PL,water heating final use,inflow,flow,2020,47.3
PL water heating final use flow 2021,PL,water heating final use,inflow,flow,2021,52.0
PL water heating final use flow 2022,PL,water heating final use,inflow,flow,2022,49.8
PL water heating final use flow 2023,PL,water heating final use,inflow,flow,2023,49.8
PL wind onshore flow 2020,PL,wind onshore,outflow,flow,2020,15.8
PL wind onshore flow 2021,PL,wind onshore,outflow,flow,2021,16.3
PL wind onshore flow 2022,PL,wind onshore,outflow,flow,2022,19.8
PL wind onshore flow 2023,PL,wind onshore,outflow,flow,2023,23.2
PL wind onshore flow 2024,PL,wind onshore,outflow,flow,2024,24.5
